amount,created_on,user_id,id,date,weekday
2361.6183986341553,2013-11-05 14:33:57,3219,0,2013-11-05,1
215.86716569709264,2013-11-18 12:23:39,144,1,2013-11-18,0
502.8721842834016,2013-11-20 23:40:01,2884,2,2013-11-20,2
2316.9662682156936,2013-11-22 15:37:31,2155,3,2013-11-22,4
1243.2624767658126,2013-11-24 12:33:27,2155,4,2013-11-24,6
659.8762570026023,2013-12-03 03:56:22,2817,5,2013-12-03,1
273.0499671406481,2013-12-04 00:34:20,144,6,2013-12-04,2
263.4959252942406,2013-12-12 08:01:48,2850,7,2013-12-12,3
400.14299481444914,2013-12-13 04:57:19,144,8,2013-12-13,4
800.759846656114,2013-12-13 08:59:08,2817,9,2013-12-13,4
1412.245761844591,2013-12-17 15:19:13,2075,10,2013-12-17,1
1710.885553584875,2013-12-19 10:48:49,2546,11,2013-12-19,3
49.47585595019649,2013-12-21 08:02:12,2687,12,2013-12-21,5
1359.1011851578498,2013-12-31 11:51:00,170,13,2013-12-31,1
1736.5652152858127,2014-01-02 04:43:15,2546,14,2014-01-02,3
2464.8408998745736,2014-01-03 21:44:46,1963,15,2014-01-03,4
188.53162512708025,2014-01-07 16:28:01,144,16,2014-01-07,1
1370.8091573368254,2014-01-09 02:08:35,1825,17,2014-01-09,3
143.54405588552262,2014-01-12 08:18:14,144,18,2014-01-12,6
1168.8981662569463,2014-01-12 20:20:57,2155,19,2014-01-12,6
2252.8680085285932,2014-01-13 00:51:21,2546,20,2014-01-13,0
403.938410147584,2014-01-14 22:35:50,144,21,2014-01-14,1
2123.6356879257282,2014-01-21 22:20:23,2155,22,2014-01-21,1
176.08184391349653,2014-01-22 10:07:25,144,23,2014-01-22,2
1060.69949040642,2014-01-24 12:43:03,3182,24,2014-01-24,4
681.4384076098385,2014-01-28 12:51:57,3343,25,2014-01-28,1
812.256112116925,2014-01-29 23:57:23,170,26,2014-01-29,2
1357.7623550282988,2014-01-29 10:06:05,2155,27,2014-01-29,2
915.6572761924411,2014-01-31 12:29:22,2793,28,2014-01-31,4
140.3151460093982,2014-02-04 11:55:24,1564,29,2014-02-04,1
230.4222614400163,2014-02-05 14:18:25,2250,30,2014-02-05,2
1106.3864478962494,2014-02-06 19:49:36,3083,31,2014-02-06,3
785.0357779885829,2014-02-09 19:45:18,2075,32,2014-02-09,6
211.22701145351834,2014-02-10 00:49:43,144,33,2014-02-10,0
