item_id,sale_id
174,0
10,1
179,2
162,2
171,3
182,3
179,4
185,4
199,5
179,5
195,5
174,5
162,5
198,5
144,6
69,6
57,7
47,7
83,7
80,7
10,7
117,7
14,7
90,7
88,7
186,8
167,8
192,8
142,8
162,8
173,8
151,8
134,8
191,9
166,9
118,10
128,10
98,11
95,11
119,11
130,12
154,12
155,12
181,12
120,12
118,12
77,12
120,12
101,13
31,14
139,15
10,16
30,16
182,17
179,17
139,17
173,17
171,17
80,18
39,18
26,19
69,19
163,20
151,20
175,21
150,22
148,22
121,23
147,23
88,23
183,24
177,24
132,25
167,25
176,26
172,26
57,27
78,27
98,28
99,28
118,29
102,30
141,30
97,30
99,30
79,30
32,30
17,30
16,31
30,31
66,32
54,32
57,33
91,33
81,33
39,33
92,33
123,33
87,34
62,34
128,34
47,34
127,35
139,36
180,36
111,36
101,37
150,38
108,39
141,39
141,39
127,39
152,39
196,39
147,39
157,39
53,40
54,40
52,40
60,40
36,40
163,41
155,41
164,41
159,41
168,41
165,41
38,42
19,43
60,43
79,44
148,44
11,45
186,46
137,46
135,47
197,48
138,48
176,48
168,48
169,48
189,48
194,48
131,49
140,50
110,50
164,50
115,50
79,50
62,51
65,51
44,51
164,52
126,52
165,52
116,52
134,52
110,52
155,52
119,53
131,53
113,53
181,53
113,53
135,53
89,53
33,54
50,54
53,55
41,56
46,56
54,56
60,56
144,57
114,57
127,58
71,58
92,58
125,58
84,59
116,59
66,60
76,60
159,61
165,61
17,62
56,62
83,63
52,63
9,64
102,65
91,65
21,66
91,67
107,67
67,68
73,68
86,68
62,68
26,68
57,69
57,69
27,69
63,69
98,69
41,70
32,70
136,71
142,71
136,72
134,72
118,73
66,73
199,74
168,74
190,74
186,74
81,75
91,75
32,75
114,75
83,75
65,75
75,75
64,76
32,76
131,76
171,77
167,77
8,78
33,78
192,79
59,80
94,80
47,80
15,81
25,81
23,81
13,81
15,81
83,81
35,81
4,81
10,81
198,82
115,82
104,83
87,83
146,83
111,83
43,83
172,83
54,84
64,84
167,85
139,85
66,86
106,87
112,87
61,87
54,88
83,89
43,89
136,90
50,91
34,91
76,91
26,91
93,91
13,92
40,92
29,92
140,93
139,93
144,93
135,94
136,94
49,95
45,95
123,96
151,96
86,96
83,97
70,97
113,97
9,98
61,98
54,99
37,99
9,100
77,100
37,100
66,100
175,101
150,102
162,102
161,102
134,102
143,102
88,103
94,103
79,103
51,104
116,104
192,105
35,106
70,107
132,108
105,108
85,108
91,109
131,110
179,111
174,111
143,112
175,112
146,113
118,113
35,114
48,114
169,115
165,115
41,116
91,117
76,117
92,117
84,117
104,117
125,117
142,117
131,118
82,118
61,119
162,120
120,121
67,121
52,122
57,122
64,122
8,122
85,122
77,122
69,122
50,122
178,123
181,123
172,123
163,124
142,124
111,125
92,125
66,126
66,126
103,127
127,127
109,127
178,127
89,127
140,128
197,129
101,130
65,131
49,131
87,131
94,131
30,131
97,131
46,131
56,131
135,131
170,132
136,132
109,132
155,132
123,133
146,134
127,134
165,134
41,135
28,135
179,136
152,136
122,136
127,136
188,136
114,136
181,136
120,136
145,136
88,137
109,137
52,138
65,138
72,138
14,139
29,139
35,140
30,140
41,140
60,140
70,140
57,140
27,140
73,140
87,141
63,141
197,142
4,143
170,144
124,144
168,145
71,146
102,146
121,147
53,148
45,148
4,149
37,149
13,149
35,150
68,150
61,150
69,150
53,150
148,151
152,151
158,152
110,152
156,152
84,153
129,153
76,153
114,154
31,155
98,155
135,156
100,156
103,156
177,157
187,157
98,158
99,158
72,159
13,159
21,160
41,160
197,161
122,161
195,161
195,161
172,162
168,162
136,163
106,164
125,164
47,165
131,166
156,166
12,167
25,167
0,168
54,168
32,168
51,168
50,168
15,168
138,169
86,170
18,170
34,170
128,170
191,171
35,172
37,172
92,172
18,172
36,172
35,172
47,172
42,173
34,173
50,173
178,174
178,174
165,174
190,174
125,175
90,176
36,176
144,177
147,177
62,178
121,178
74,178
10,178
59,178
29,178
115,179
176,179
97,180
112,180
108,181
108,182
93,182
91,183
104,184
86,184
104,185
144,185
189,186
159,186
143,186
132,186
159,186
58,187
83,187
80,187
28,187
84,187
189,188
121,189
67,189
117,190
98,191
78,191
67,191
127,192
128,192
9,193
55,193
128,194
181,194
101,195
80,195
86,195
139,195
67,195
108,195
115,195
72,195
131,195
191,196
174,196
189,196
179,197
182,197
22,198
24,198
37,198
11,198
23,198
146,199
81,199
91,200
57,201
62,202
107,203
80,203
101,204
132,204
99,204
125,204
73,204
164,205
144,205
159,206
160,206
120,206
