device_id,user_id
1,0
2,1
3,2
4,2
6,3
7,4
8,5
9,6
10,7
10,8
11,9
12,10
13,10
14,10
16,11
17,12
17,13
20,14
21,15
22,16
23,16
24,17
25,18
27,19
27,20
28,21
31,22
32,23
33,23
34,24
35,25
39,26
41,27
42,28
44,29
45,30
46,31
47,32
48,33
48,34
49,35
50,36
52,37
53,38
55,39
57,40
59,41
60,42
62,43
64,44
65,44
67,45
68,46
70,47
71,48
72,49
74,50
75,51
78,52
79,53
80,54
81,55
82,56
82,57
83,58
83,59
84,60
85,61
87,62
88,63
88,64
89,65
90,66
91,66
92,67
93,68
94,68
95,69
96,70
97,71
98,72
100,72
101,73
102,74
103,75
105,76
106,76
108,77
110,78
111,79
112,80
115,81
116,82
119,83
120,84
121,84
122,85
123,86
124,87
125,87
127,88
128,88
128,89
130,90
131,91
132,92
133,93
133,94
134,95
135,96
135,97
136,98
140,99
141,100
142,101
144,102
145,103
146,104
146,105
147,106
148,107
150,107
151,108
153,108
154,109
155,110
156,111
159,112
160,113
161,113
162,114
162,115
163,116
165,117
166,118
167,119
168,120
169,121
170,122
171,123
171,124
172,125
173,126
174,127
175,128
175,129
176,130
177,131
178,132
179,133
180,134
181,135
182,136
183,137
185,138
186,139
188,140
189,141
190,142
192,143
193,144
194,145
195,145
196,146
197,146
198,147
199,148
201,149
202,150
203,151
206,152
207,153
209,153
210,154
211,155
212,156
213,157
214,158
215,159
216,160
217,161
219,162
219,163
220,164
221,165
223,166
224,167
226,168
227,169
228,170
229,171
230,172
231,172
232,173
234,174
235,175
236,176
237,177
238,178
240,179
242,180
243,181
246,182
247,183
249,184
251,185
253,186
255,187
257,188
258,189
259,190
260,191
262,192
263,193
264,194
264,195
265,196
266,197
267,198
268,199
269,200
271,201
272,202
272,203
274,204
276,205
278,205
279,206
281,207
282,208
284,208
285,209
286,210
287,211
290,212
291,213
292,214
293,215
294,216
295,217
296,218
296,219
297,220
298,221
299,221
300,221
302,222
303,223
304,224
305,225
307,226
308,226
310,227
311,228
312,229
315,230
316,231
318,232
319,233
321,234
323,235
324,236
325,237
326,237
327,238
327,239
330,240
332,241
333,242
335,243
336,244
337,245
338,245
340,245
340,246
343,247
343,248
344,249
345,250
346,251
347,252
348,253
349,254
351,255
355,256
359,257
361,258
363,259
365,260
369,261
372,262
374,262
374,263
375,264
375,265
376,266
378,267
379,268
380,268
380,269
381,270
382,271
383,272
385,273
387,274
388,275
391,276
392,277
393,278
396,279
397,279
400,280
400,281
401,282
402,283
405,284
406,285
407,286
408,287
408,288
409,289
410,290
411,291
412,292
417,293
419,294
420,295
420,296
422,297
423,298
424,299
425,300
426,301
427,302
428,303
429,304
430,305
431,306
431,307
432,308
434,309
436,310
437,311
438,312
440,313
442,314
444,315
445,316
446,317
448,318
450,319
451,320
452,321
453,322
455,323
455,324
457,325
458,326
460,327
460,328
461,329
464,330
465,330
467,331
468,332
468,333
469,334
470,335
472,336
473,336
474,337
475,338
476,339
477,340
477,341
478,342
479,342
481,342
482,343
484,344
485,345
486,346
488,347
489,348
490,349
491,350
492,351
494,352
498,353
498,354
499,355
500,356
503,357
506,358
507,359
508,360
509,361
511,362
513,363
514,364
515,364
516,365
517,366
518,366
518,367
519,368
520,369
522,370
524,371
525,372
527,373
529,374
530,375
531,376
532,377
533,378
534,379
534,380
540,381
